ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.6855,1.1329,9.5198,-0.6533,1.0795,9.7251,-0.0461,0.04,-0.2626,0.0396,0.0151,-0.0184,0.0,139.78,504.72,-28.72,344.85,-6.18,3.77,67.84594,20.221375,1692.11,NaN,0.0,10.374194,,26 / 33,9187,2019-09-17 01:41:02:811
-0.6855,1.1473,9.5462,-0.6594,1.0832,9.7243,-0.0595,0.0694,-0.2172,0.0029,0.0391,-0.0051,0.0,139.48,504.26,-28.86,344.85,-6.32,3.84,67.84594,20.221375,1692.11,NaN,0.0,10.374194,,26 / 33,9208,2019-09-17 01:41:02:832
-0.6352,1.1186,9.8215,-0.6713,1.0859,9.7232,0.0061,0.0466,0.0074,0.0066,0.0609,0.0103,0.0,139.79,504.73,-27.98,344.85,-6.32,3.84,67.84594,20.221375,1692.11,NaN,0.0,10.374194,,26 / 33,9228,2019-09-17 01:41:02:852
-0.707,1.0372,9.8071,-0.6809,1.0881,9.7223,-0.0619,-0.0684,0.0793,0.0279,0.0711,-0.0088,0.0,140.23,504.27,-28.85,344.76,-6.36,3.95,67.84594,20.221375,1692.11,NaN,0.0,10.374194,,26 / 33,9248,2019-09-17 01:41:02:872
-0.7238,1.0994,9.8335,-0.6909,1.091,9.7213,-0.0086,0.0255,0.0826,0.021,0.0561,-0.012,0.0,140.25,503.82,-27.8,344.76,-6.36,3.95,67.84594,20.221375,1692.11,NaN,0.0,10.374194,,26 / 33,9268,2019-09-17 01:41:02:892
-0.7214,1.1234,9.8047,-0.7057,1.0958,9.7196,-0.0571,0.0397,0.0206,0.0077,0.0322,-0.0152,0.0,139.8,503.97,-27.66,344.76,-6.4,4.11,67.84594,20.221375,1692.11,NaN,0.0,10.374194,,26 / 33,9287,2019-09-17 01:41:02:911
-0.7238,1.1138,9.8646,-0.7104,1.098,9.7191,-0.0151,0.0097,0.0792,0.0119,0.021,-0.0078,0.0,138.74,502.74,-28.22,344.76,-6.4,4.11,67.84594,20.221375,1692.11,NaN,0.0,10.374194,,26 / 33,9308,2019-09-17 01:41:02:932
-0.695,1.0922,9.922,-0.7123,1.0998,9.7187,0.0121,-0.0222,0.1056,0.0332,0.029,-0.02,0.0,140.09,504.74,-27.98,344.79,-6.44,4.19,67.84594,20.221375,1692.11,NaN,0.0,10.374194,,26 / 33,9327,2019-09-17 01:41:02:951
-0.7309,1.1808,9.6635,-0.7215,1.1129,9.7165,-0.0454,0.0336,-0.0065,0.0433,0.0418,-0.0259,0.0,139.05,502.6,-27.18,344.79,-6.44,4.19,67.84594,20.221375,1692.11,NaN,0.0,10.374194,,26 / 33,9347,2019-09-17 01:41:02:971
-0.7884,1.2072,9.7497,-0.7263,1.1193,9.7154,-0.0382,0.0835,-0.0637,0.0258,0.0215,-0.0206,0.0,140.54,504.43,-28.41,344.66,-6.52,4.25,67.84594,20.221375,1692.11,NaN,0.0,10.374194,,26 / 33,9368,2019-09-17 01:41:02:992
-0.7381,1.1545,10.037,-0.7302,1.1226,9.7148,-0.0318,0.0262,0.1083,0.0178,0.0135,-0.0131,0.0,139.5,502.29,-27.76,344.66,-6.52,4.25,67.84594,20.221375,1692.11,NaN,0.0,10.374194,,26 / 33,9387,2019-09-17 01:41:03:011
-0.7525,1.0994,10.0178,-0.7343,1.1337,9.7132,-0.003,0.0126,0.1717,0.0652,0.0135,-0.0211,0.0,139.04,503.35,-28.39,344.85,-6.6,4.31,67.84594,20.221375,1692.11,NaN,0.0,10.374194,,26 / 33,9407,2019-09-17 01:41:03:031
-0.7669,1.0994,9.843,-0.7375,1.143,9.7119,-0.0283,-0.0209,0.0123,0.0705,0.0151,-0.0243,0.0,140.08,503.34,-29.41,344.85,-6.6,4.31,67.84594,20.221375,1692.11,NaN,0.0,10.374194,,26 / 33,9429,2019-09-17 01:41:03:053
-0.7836,1.1593,9.7521,-0.743,1.1596,9.7095,-0.0227,-0.0366,-0.0315,0.0774,0.0205,-0.0168,0.0,140.09,504.43,-27.97,344.77,-6.75,4.36,67.84594,20.221375,1692.11,NaN,0.0,10.374194,,25 / 30,9447,2019-09-17 01:41:03:071
-0.81,1.1305,9.7018,-0.7465,1.1696,9.708,-0.0684,-0.0344,-0.0938,-0.2469,-0.4062,-0.0056,0.0,139.95,503.05,-28.22,344.77,-6.75,4.36,67.84594,20.221375,1692.11,NaN,0.0,10.374194,,25 / 30,9468,2019-09-17 01:41:03:092
-0.8004,1.1401,9.436,-0.7084,1.136,9.7148,-0.3703,0.1343,0.0527,-0.2842,-0.2001,0.0284,0.0,139.48,503.8,-28.84,344.88,-6.65,4.17,67.84594,20.221375,1692.11,NaN,0.0,10.374194,,25 / 30,9488,2019-09-17 01:41:03:112
-0.4005,0.6182,10.6355,-0.6673,1.0724,9.725,0.1369,-0.1122,0.8688,-0.1825,-0.1202,0.0157,0.0,140.55,503.66,-28.39,344.88,-6.65,4.17,67.84594,20.221375,1692.11,NaN,0.0,10.374194,,25 / 30,9508,2019-09-17 01:41:03:132
-0.9297,1.018,10.693,-0.6982,1.0874,9.7211,-0.1082,-0.1038,1.225,0.1989,0.3027,-0.0051,0.0,140.23,504.56,-29.3,344.78,-6.28,3.93,67.84594,20.221375,1692.11,NaN,0.0,10.374194,,25 / 30,9527,2019-09-17 01:41:03:151
-0.9249,1.0252,9.5007,-0.7449,1.1262,9.7132,-0.1278,-0.0763,0.3689,0.2479,0.2378,0.0034,0.0,140.23,503.8,-29.28,344.78,-6.28,3.93,67.84594,20.221375,1692.11,NaN,0.0,10.374194,,25 / 30,9547,2019-09-17 01:41:03:171
-1.0997,1.2598,9.63,-0.772,1.1609,9.707,-0.3329,0.035,-0.2942,-0.0211,-0.1122,7.0E-4,0.0,140.84,503.66,-29.12,344.7,-6.77,4.55,67.84594,20.221375,1692.11,NaN,0.0,10.374194,,25 / 30,9568,2019-09-17 01:41:03:192
-0.8578,1.2886,10.0609,-0.7488,1.1568,9.7094,-0.1767,0.2785,0.4486,-0.0206,-0.1734,0.0109,0.0,139.81,503.37,-27.2,344.7,-6.77,4.55,67.84594,20.221375,1692.11,NaN,0.0,10.374194,,25 / 30,9588,2019-09-17 01:41:03:212
